biosample,Shannon_5000,Richness_5000,Chao1_5000,Shannon_1000,Richness_1000,Chao1_1000,Shannon_Alphaproteo_5000,Richness_Alphaproteo_5000,Chao1_Alphaproteo_5000,Shannon_Cyano_5000,Richness_Cyano_5000,Chao1_Cyano_5000,Shannon_Alphaproteo_1000,Richness_Alphaproteo_1000,Chao1_Alphaproteo_1000,Shannon_Cyano_1000,Richness_Cyano_1000,Chao1_Cyano_1000
SAMN05422108,,,,3.96247983344743,161,236.46875,,,,,,,2.49184748734608,46,61.1111111111111,,,
SAMN05422110,,,,3.51339256345413,120,171,,,,,,,2.41333833516972,31,44.2,,,
SAMN05422111,,,,3.84555688155511,124,180.894736842105,,,,,,,2.53775461628738,31,46.1666666666667,,,
SAMN05422113,,,,3.75118511862996,137,248.714285714286,,,,,,,2.82223886147166,38,62,,,
SAMN05422114,,,,3.35310124786741,129,202.2,,,,,,,1.54986643454812,24,28.6666666666667,,,
SAMN05422115,,,,3.67887074018215,151,244.857142857143,,,,,,,2.16028998446799,42,80,,,
SAMN05422117,,,,3.82531754260089,135,200.619047619048,,,,,,,2.76821906997864,30,69,,,
SAMN05422120,,,,3.24012729187014,120,204.176470588235,,,,,,,2.77908076849343,37,82.3333333333333,0,1,1
SAMN05422121,3.88110699411812,280,379.666666666667,3.75656526955548,144,238.545454545455,3.02165440298189,90,138,0.129740694719428,2,2,2.88274336317861,49,77.875,0,1,1
SAMN05422122,,,,4.08661354890635,156,328.5,,,,,,,2.80973820390856,40,155.5,0,1,1
SAMN05422123,,,,3.60862472094935,124,164.551724137931,,,,,,,2.21878773825451,30,36,,,
SAMN05422127,,,,3.79472871258477,152,260.04347826087,,,,,,,2.36686405848697,34,86.5,0,1,1
SAMN05422128,,,,3.48160059685393,112,210.076923076923,,,,,,,2.00644814637415,15,22.5,,,
SAMN05422130,,,,2.93317086407047,103,131.666666666667,,,,,,,1.49152035807907,16,16.2,0,1,1
SAMN05422133,,,,3.89840026721068,154,242.137931034483,,,,,,,2.99492849763966,51,66.1111111111111,,,
SAMN05422136,,,,3.64095387255013,144,266.833333333333,,,,,,,2.81763325493924,36,61.5,,,
SAMN05422137,,,,4.07898786201921,174,239.394736842105,,,,,,,2.66623971183991,49,68.125,,,
SAMN05422138,3.89674625422713,210,230.583333333333,3.81553970040286,138,204.12,2.5245164551161,47,53.6,0,1,1,2.45203023756319,27,33,0,1,1
SAMN05422140,,,,3.70825934258291,127,197,,,,,,,3.07733876267686,41,52.1428571428571,,,
SAMN05422143,,,,3.79545732607334,134,181.115384615385,,,,,,,2.34048797834851,23,26.5,,,
SAMN05422147,,,,,,,,,,,,,,,,,,
SAMN05422148,,,,3.99580851939193,142,219.772727272727,,,,,,,2.78599154934433,32,47.1666666666667,0,1,1
SAMN05422149,4.13835227396561,270,353.076923076923,3.99483232345971,152,248.130434782609,3.03699793114917,73,96.1,0.686961576597323,2,2,2.90280122334843,41,61,0,1,1
SAMN05422152,,,,3.83008526440364,144,238.916666666667,,,,,,,2.64188502712209,36,51.1111111111111,,,
SAMN05422153,,,,3.95763732479557,177,284.129032258065,,,,,,,2.47158611033131,50,80,0,1,1
SAMN05422158,,,,4.40767201256016,192,328.12,,,,,,,3.19220609701166,69,88.4615384615385,0.558659438000746,3,3
SAMN05422160,3.88536058387171,243,318.30303030303,3.7328844695512,136,235.526315789474,2.70513394845715,63,86.3333333333333,0.410116318288409,2,2,2.59067795192831,36,58.6666666666667,0,1,1
SAMN05422163,3.62122586333157,251,296.63829787234,3.471195454949,142,216.666666666667,2.72852832035861,65,76.4,,,,2.61476237967739,36,59.75,,,
SAMN05422164,,,,3.51277134575287,122,163.777777777778,,,,,,,2.13930204321826,30,43.75,,,
SAMN05422165,,,,3.63020922256313,150,232.833333333333,,,,,,,2.58724506640868,41,69.5,,,
SAMN05422166,3.9025153407663,220,258.926829268293,3.88511928339267,129,232.3125,2.61586682856096,54,63.5454545454546,,,,2.53622315245078,29,38.75,0,1,1
SAMN05422168,,,,3.58967647608359,146,266.652173913044,,,,,,,2.22541740884898,49,81.5,,,
SAMN05422169,,,,3.63556784299739,137,243.105263157895,,,,,,,2.68378342926899,44,94.6,,,
SAMN05422170,,,,4.03723120036375,171,252.277777777778,,,,,,,2.30714261648851,42,77,0,1,1
SAMN05422171,,,,3.9403142002082,153,220.344827586207,,,,,,,2.64428913951359,33,39.875,0,1,1
SAMN05422175,,,,3.59425313042694,143,285.5,,,,,,,3.05409818806835,53,79.25,,,
SAMN05422183,,,,3.34868860225498,97,145.461538461538,,,,,,,2.03474445287047,15,22.5,,,
SAMN05422188,,,,3.62779628395799,129,195.5,,,,,,,2.35138637166639,32,45,,,
SAMN05422189,,,,3.69092144443918,153,224.1875,,,,,,,2.85618194502191,50,69,0,1,1
SAMN05422191,,,,3.40799311724807,117,180.75,,,,,,,2.02546201293463,30,41,,,
SAMN05422192,,,,3.75870242937921,143,216.2,,,,,,,2.80234094241377,33,39.875,,,
SAMN05422194,,,,3.70313931693158,137,210.75,,,,,,,2.72810863367204,36,60,,,
SAMN05422195,3.89995568479941,234,289.275,3.84413366507528,130,175,2.32987794728368,59,89,0,1,1,2.30197821339236,29,44.6,,,
SAMN05422226,3.68121136308482,210,232.657894736842,3.63559650025101,132,220.666666666667,2.73446328402934,44,52.25,0,1,1,2.76598815791274,27,39,0,1,1
SAMN04939363,,,,1.7392195693248,13,16,,,,,,,1.44625756439826,5,5,0.303389192393484,4,5
SAMN04939364,0.167887658928874,12,13.5,0.155664586353104,7,7,1.21879919898087,5,5,0.0019481028684544,2,2,1.19016197658567,4,4,0,1,1
SAMN04939365,0.955769237942767,21,28,0.984280215110985,13,23,1.15314485746368,9,9,0.0209801483039509,4,5,1.18101556268448,7,8,0,1,1
SAMN04939373,,,,0.048738055853272,4,4,,,,,,,0.693147180559945,2,2,0.0079489275852899,2,2
SAMN04939375,,,,3.76762784595541,85,93.75,,,,,,,2.15986858832359,11,12.5,0,1,1
SAMN04939377,,,,2.00769246928051,17,17,,,,,,,1.25234815752087,6,6,0.577237126191051,3,3
SAMEA104408592,3.60821950121394,142,164.555555555556,3.53136040680401,94,130.909090909091,2.20113798030346,44,50.4285714285714,0.622104256889364,4,4,2.10110908926918,31,109,0.514653165428929,2,2
SAMEA104408593,4.16221783447844,276,349.076923076923,4.02614104490059,164,227,2.52585579790004,63,96,0.936888307539016,3,3,2.39011060140532,39,47.2727272727273,,,
SAMEA104408594,3.90509381112633,256,333,3.76647492873736,145,216.869565217391,2.36503925747145,52,73.1111111111111,0.636514168294813,2,2,2.2723551568871,30,41.1428571428571,0.693147180559945,2,2
SAMEA104408595,2.63461371966341,107,132,2.57079852147853,68,75.5,2.16451598126286,23,38,0.115596717830926,5,5,1.99533116589831,11,11.25,0.152729032185942,5,6
SAMEA104408596,3.34190952882243,133,162.176470588235,3.25631078899642,76,88.2142857142857,1.9998185064538,34,40,0.514412833558013,4,5,1.88839560672779,20,25.25,0.636514168294813,2,2
SAMEA104408597,3.81555295811842,199,238.2,3.73483445244964,123,172.5,2.63795924094485,38,53.1666666666667,0.721463686692512,3,3,2.31757557436461,18,20,0,1,1
SAMEA104408598,3.61111281079405,166,192.037037037037,3.55793702751787,101,118.4,1.20679309561245,25,34,0.435516254569842,4,4,1.00866398932083,14,18.2,0.325082973391448,2,2
SAMEA104408599,3.78409161353844,172,200.12,3.72757201630179,114,167.117647058824,1.30706818468499,25,29.6666666666667,0.223718076065834,2,2,1.28082907186412,12,14,0.500402423538188,2,2
SAMEA104408600,3.88511751156626,193,233.285714285714,3.69995601820493,109,138.333333333333,1.58507058004889,28,31.5,0.36692499127271,2,2,1.62824907874685,18,21.75,0.376770161256437,2,2
SAMEA104408601,3.51430158225233,168,211.157894736842,3.45691881944622,105,148.588235294118,1.87892026214051,35,37.1428571428572,0.404099852908071,6,9,1.83897083469102,25,34,0.536225877174469,4,4
SAMEA104408602,3.69920774240287,198,257.913043478261,3.54614691437025,119,180.25,1.87746237439326,48,61,0.564198647381828,4,4,1.76936751991447,28,49,0.48510450039094,3,3
SAMEA104408603,3.86548125213929,217,274,3.77613864144618,128,173,2.11609572650003,47,51.0909090909091,1.2406842919534,4,4,1.89520576635607,26,42.5,1.33217904021012,4,5.5
SAMEA104408604,3.73623909733904,156,205.4,3.6640477764398,105,138,2.07319821787157,34,46,0.4301719638045,10,15,1.98351271596606,23,30,0.320243912489446,5,6.5
SAMEA104408605,3.85358162527452,202,255.2,3.82754259133377,122,183.5,2.20769814642643,45,54.4285714285714,0.406897952803252,9,14,2.03681860757628,22,26.2,0.376257483998471,3,3
SAMEA104408606,,,,4.19548254623702,149,200,,,,,,,2.46460696942717,34,47.2,0.462036427894158,4,5
SAMEA104408607,3.22700432781212,153,205.105263157895,3.26866474883168,97,132.2,2.02497711353595,31,42.25,0.180992042065763,7,8.5,2.03315669045316,21,35,0.180081619311965,3,3
SAMEA104408608,3.88611389341641,199,235.666666666667,3.85589913556341,130,188.8,2.46737183664958,43,49.875,0.370258706572199,8,8,2.37574635197415,25,29,0.433996356169591,6,9
SAMEA104408609,4.09373134728397,215,248.6,3.96700651118366,131,199.055555555556,2.19278648700482,46,50,0.26007440921502,5,5,2.1348224473155,28,34.4285714285714,0.109452358162667,2,2
SAMEA104408610,3.31895988282874,128,150.142857142857,3.25844016733774,78,105.6,1.70083384147823,24,31.5,0.56715413723863,7,7,1.59106123856349,16,18.5,0.60502059648275,7,8
SAMEA104408611,3.8119890112541,158,236.833333333333,3.72857812441277,97,151.090909090909,2.27908529317559,33,49.5,0.672028111288852,7,7.33333333333333,2.23699575645597,19,33,0.725484988375934,6,9
SAMEA104408612,3.96424966344899,188,218,3.90620963382419,127,166,2.16132313712267,34,86.5,0.362501021739676,3,3,2.00662234299038,18,25,0,1,1
SAMEA104408613,3.06903062072984,146,185.047619047619,3.03264822624556,93,136.157894736842,1.7346161088531,23,35,0.47163217541773,7,7,1.77193914502698,14,17.75,0.460278504722702,5,6
SAMEA104408614,3.54243329335972,145,166.75,3.55751368673441,102,145.9375,1.68285627660004,21,39,0.551045891908769,4,4,1.73108537931689,13,23,0.462036427894158,4,5
SAMEA104408615,3.7954006603952,177,230.125,3.78179787307795,113,195.5,1.57779389060047,21,26.25,0.719071754348727,4,4,1.43873476515136,11,16,0.450561208866305,2,2
SAMEA104408616,3.40024086763551,140,179.260869565217,3.3355015483839,73,89.8666666666667,1.75789583601373,33,51.2,0.831385699341338,7,7,1.66457047147194,14,14.5,0.826737002696956,5,5
SAMEA104408617,2.05557511141129,134,189.681818181818,1.99995565895942,65,92.2727272727273,2.18726604325491,30,52.75,0.486980612192455,3,3,2.127861549605,14,15.5,0,1,1
SAMEA104408618,2.95801136483305,143,188.882352941176,2.87366089348636,92,131.666666666667,1.93888822966323,18,28.5,0.683738905848754,3,4,1.89502417496762,12,40,0,1,1
SAMEA104408619,2.72605276163216,123,154,2.58935611900038,78,136.666666666667,2.17337206495181,25,32,0.330310911403638,11,11.5,2.09803414498551,16,19.75,0.33205128511282,7,7.5
SAMEA104408620,3.52608335134166,193,223.516129032258,3.57617559169765,123,157.166666666667,2.07791846682016,32,41,0.518186213050213,3,3,2.07534584091515,20,38.3333333333333,0.233791658706459,2,2
SAMEA104408621,3.59493423756146,193,246.103448275862,3.51048522871139,117,158.166666666667,2.15889989214402,33,59,0.379534925581095,3,3,2.20449655232178,21,30,0.535961049709069,3,4
SAMEA104408623,,,,3.54900126100262,137,190,,,,,,,2.54720758484722,18,36,0.693147180559945,2,3
SAMEA104408624,3.15117761617186,147,230.153846153846,3.02207225796034,84,119.428571428571,1.56446163935602,26,33,0,1,1,1.5297496726265,18,19.6666666666667,,,
SAMEA104408625,,,,3.38423463464461,126,181.434782608696,,,,,,,2.3575612929693,18,36.3333333333333,0,1,1
SAMEA104408626,2.60675008336487,132,209.214285714286,2.57908109388456,75,108.066666666667,1.61725704324273,24,28.2,,,,1.41222561086466,12,12.4285714285714,,,
SAMEA104408627,,,,3.12431229275285,79,104,,,,,,,1.00316592101781,5,5.5,0,1,1
SAMEA104408628,2.97277347350552,111,133.235294117647,2.96571119321362,72,159,2.14478014735381,12,13,0,1,1,1.50927342377754,6,9,0,1,1
SAMEA104408629,,,,3.00866319262857,95,136.166666666667,,,,,,,1.83840763539227,8,9.5,0,1,1
SAMEA104408630,2.58138224437797,122,179,2.51867644973926,74,111.714285714286,2.08359847167669,16,21,0,1,1,2.16255683623313,11,13.5,0,1,1
SAMEA104408691,,,,,,,,,,,,,,,,,,
SAMEA104408692,3.92205265708848,167,212.882352941176,3.89125954558639,116,141.5,2.28237135908349,37,40.5,0.950577458992403,4,4,2.34621581570509,27,34,0.784485748920301,3,3
SAMEA104408693,,,,3.56222228140236,124,164.285714285714,,,,,,,2.50835121616129,27,46.5,0.636514168294813,2,2
SAMEA104408694,3.30857167051933,160,205,3.29875267202852,95,128,2.18921600530865,31,38.2,0.683738905848754,3,3,2.20800228578899,24,35,0,1,1
SAMEA104408695,,,,3.16027166125105,90,121,,,,,,,1.76652956016402,8,9,0,1,1
SAMEA104408696,,,,3.94077566847245,134,187.260869565217,,,,,,,1.94206164459367,23,78,0,1,1
SAMEA6236680,3.79443818169028,165,200.285714285714,3.75620387248381,107,136.176470588235,1.84158277838953,32,65,1.04795804405624,11,11,1.79232088220898,20,25.25,1.12771849921045,9,9.33333333333333
SAMEA6236681,3.68714041911185,186,285,3.58080468840572,110,138.05,1.66169130495973,31,53.5,1.67782760193531,13,23,1.61695310524837,17,17.4285714285714,1.61086720510266,8,11
SAMEA6236682,3.66639910784323,179,216.142857142857,3.62181243710078,113,139.714285714286,1.69482222556777,38,106,1.56725398820648,11,11,1.6486155905831,20,29,1.4947305861831,7,7
SAMEA6236683,3.47085204225787,160,201.625,3.34207836834541,105,169.5,1.56341461693922,31,40,1.44414283417334,12,12.25,1.48351337442546,17,45,1.56689779039274,9,12
SAMEA6236684,3.67630277057166,159,241.5,3.57420311004662,95,116.368421052632,1.73237939102273,26,36.5,1.34906322989858,11,16,1.63730663095012,17,20,1.0768494972372,6,12
SAMEA6236685,3.76774578073135,176,215.136363636364,3.78948882785051,113,164.25,1.84269475307379,29,33.2,0.98871150574325,6,7,1.73413323180088,16,18,1.24401669579289,5,5.5
SAMEA6236686,3.7523487492691,180,252.526315789474,3.71729866060905,112,136.791666666667,1.85121261741081,33,42.3333333333333,1.36357296443149,10,11.5,1.80523964947158,18,20.5,1.38954473104414,8,8
SAMEA6236687,3.74458356819081,196,240.71875,3.67599041676895,122,232.2,1.84364914012519,34,37,1.5823263375629,12,12,1.8277062562489,25,85,1.2948769608694,7,8
SAMEA6236688,3.76458953421968,194,232.636363636364,3.65567203075381,117,189.066666666667,1.82666381061285,36,43.2,1.31521425999851,12,13,1.58022283153808,19,30.25,1.40256247265015,9,9.75
SAMEA6236689,3.46331802816446,163,193.272727272727,3.42559347786922,97,130.461538461538,1.44118278307082,25,30.25,1.91970790573716,14,16,1.36377911213616,13,15,1.8275632309794,8,8
SAMEA6236690,3.46612796561569,140,165,3.43894617451995,103,149.866666666667,1.50197022049338,25,26,1.57835431457396,12,12.5,1.48743444049331,18,28.5,1.42135242821283,8,9
SAMEA6236691,3.53633450493878,162,203.625,3.43261220260826,101,142.352941176471,1.59465951914725,32,59.5,1.4707445612315,11,11,1.56249299842306,19,23.2,1.28246751137705,7,7.33333333333333
SAMEA6236692,3.56379291106295,162,205.333333333333,3.42547628762108,102,137.2,1.66087034971793,31,32.6666666666667,1.41383989439558,12,15,1.49313492008565,17,20.75,1.24023430343245,6,6
SAMEA6236693,3.56704206362076,141,162.9375,3.42230874740979,88,100.65,1.64205055313257,22,22,0.768138859065222,10,10.5,1.59267476390438,17,18.25,0.789496081257492,7,7
SAMEA6236694,3.60992971218654,163,235.066666666667,3.56736264355853,101,134,1.43104254909282,30,52.75,0.969435461066156,10,16,1.40981057359843,14,17.75,0.95564408018468,6,6
SAMEA6236695,3.9077552176486,185,218.913043478261,3.81307993792319,121,227.25,1.6668244394468,30,31,1.19850513642745,11,12.5,1.61720404442789,17,22.25,1.12880347897859,6,9
SAMEA6236696,3.79774406089088,174,217.157894736842,3.73279730477542,113,134.565217391304,1.6293770689798,25,32.5,1.28658678734369,12,12.5,1.54812709158967,14,15.5,1.32163837867927,9,9.5
SAMEA6236697,3.4766742693915,144,179.769230769231,3.42953727685584,91,113.235294117647,1.5479193038109,25,37,1.17217754070383,9,9,1.48626088231004,11,11,1.15719551930478,7,7
SAMEA6236698,3.68410311878367,174,217.384615384615,3.65525228031874,110,209,1.45060775000142,30,39.4285714285714,1.5921410939728,10,13,1.54541027346635,18,25,1.74000770088082,9,10
SAMEA6236699,3.62757583404128,173,248.2,3.55226629550623,106,137,1.3919226461539,28,34,1.7358604249065,12,12.5,1.44598767645817,16,31,1.51233339647261,9,10.5
SAMEA6236700,3.52698934224307,158,183.2,3.51554051583084,104,139,1.33902882655341,24,36,1.53062183706566,10,10,1.48319204966876,17,29,1.58733721433525,7,7
SAMEA6236701,3.62277182079009,173,242.176470588235,3.57728780724369,104,137,1.5895662884299,32,54.75,1.10503105359107,11,12,1.43542563618056,12,18,0.776072456657518,7,9
SAMEA6236702,3.52035113549928,138,171.461538461538,3.47654574147718,91,113.235294117647,1.52638084083196,25,28.75,0.527567356055285,6,7,1.54903688603877,17,31,0.684613428847522,5,5
SAMEA6236703,3.34362343139472,118,154.111111111111,3.30391658775832,83,108,1.3325481046941,23,30,0.806608744590312,5,6,1.26389044152087,11,14,0.835713060677964,3,3
SAMEA6236704,3.38126299917751,118,172,3.29391106339328,78,90.2142857142857,1.45067172394882,27,45.3333333333333,0.459181918977373,5,6,1.40960798230866,15,20,0.55284357207821,4,5
SAMEA6236705,3.50221271555043,118,176.666666666667,3.40857869136029,80,107.272727272727,1.36969716944038,20,24.2,0.558868936500338,4,4,1.35109611886706,13,18,0.419555892320233,3,3
SAMEA6236706,3.42015505202013,151,166.260869565217,3.36205970754802,91,114.4,1.4982668396597,28,32,1.01086312153926,11,11.5,1.44434027755958,12,12.25,0.857837346362876,7,8.5
SAMEA6236707,3.60671339247145,159,179.217391304348,3.62472644212579,114,181.571428571429,1.56993190639192,27,30.5,1.07707533539783,12,12,1.61833102212179,16,21,0.890234375890026,8,18
SAMEA6236708,3.54794961040611,168,200.217391304348,3.46234995529887,106,176.714285714286,1.56164681682781,31,42,1.33843687373171,9,9,1.51180240605996,16,21.25,1.39330274092106,8,9
SAMEA6236709,3.49218943427061,136,171.769230769231,3.48322640998041,88,101.588235294118,1.60968675204503,31,44.2,0.778455594014263,7,8.5,1.74449545075343,16,23.5,0.600166073159646,3,3
SAMEA6236710,3.624098350749,146,165.117647058824,3.51391379132085,100,151,1.70347219588188,31,35.2,0.732126162646866,3,3,1.70755141299666,21,32.25,0,1,1
SAMEA6236711,3.6406383075738,155,201.75,3.58174591655132,98,119.666666666667,1.69373583044611,26,28,1.43817156885169,9,9,1.58537279490953,13,13.3333333333333,1.47049451104881,8,9.5
SAMEA6236712,3.84881336934065,208,257.677419354839,3.68195803831569,112,138.4,1.95398701749702,39,50,1.81563908606683,15,15.75,1.76588126836492,16,18,1.67443074506251,7,7
SAMEA6236713,3.68942936491084,162,207.047619047619,3.64476342008142,108,141.681818181818,1.77477332834932,30,32.1428571428572,0.966826251277239,9,12,1.81347667396198,24,33.1666666666667,0.854414981600184,3,3
SAMEA6236714,,,,3.39383121087687,92,114.894736842105,,,,,,,1.32694507187633,13,16.3333333333333,1.13241632801029,4,4
SAMEA6236715,3.91087821903938,195,279,3.87764076980487,123,164,2.08965751692483,43,71.5,0.566281446914843,6,6,2.10438420321232,23,26.5,0.306829153440971,3,4
SAMEA6236716,3.79751236752647,155,172.652173913043,3.60428569334336,81,102.230769230769,1.651322925698,25,32,0.355881081624807,3,3,1.54029352952579,12,17,0.191444081957717,2,2
SAMEA6236717,3.70463565108948,189,224.689655172414,3.59490960144534,113,140.391304347826,1.6115720544899,33,44,0.449360380464388,3,3,1.54919858235419,15,18.3333333333333,0.362210557135449,2,2
SAMEA6236718,3.92664455849992,173,196.785714285714,3.80859776214307,103,125.235294117647,1.92464653611764,30,41.25,0.494006447971315,3,3,1.85570058177933,13,13,0.482577565177012,2,2
SAMEA6236719,3.84330485790633,160,186.64,3.84946623136392,110,151.352941176471,1.99817164989232,29,38,0.334107140654318,4,4,2.01214744430398,19,37,0.330680630831979,2,2
SAMEA6236720,4.19726490485007,225,294.51724137931,4.15689092808238,141,207.3,2.04910943545491,41,52.375,0.717640551343761,6,6.5,1.96787222128354,21,30,0.600166073159646,3,3
SAMEA6236721,2.87252439962972,116,181,2.83012815161973,66,85.0909090909091,1.51778064191817,27,57,0.218565033091462,5,5,1.57161689627377,13,20.5,0.190941674404933,3,3
SAMEA6236722,3.18106522545645,115,189,3.15587480816796,70,98.875,1.46639124113144,23,28,1.1398256879121,6,6.5,1.43420011210725,15,20,0.456334432293288,3,3
SAMEA6236723,3.73211368988113,149,175.4,3.70908128869017,102,151.583333333333,1.84386510487374,31,38.8571428571429,0.669708405546811,9,10,1.71949492149854,17,31,0.862997973113813,7,8.5
SAMEA6236724,3.97956010191891,185,236.476190476191,3.84519115536236,113,146.055555555556,2.20402146892467,36,58,1.15722526206416,12,15,1.88980695307031,20,32,1.20798426962275,10,15
SAMEA6236725,3.98215201717936,166,178.037037037037,4.00197977047097,117,150.055555555556,2.36514365577257,28,31,0.788311791042731,9,9.25,2.22599641349631,18,19.6666666666667,0.936994431451814,7,8.5
SAMEA6236726,3.84710846331585,177,206.64,3.67685114844211,109,122,3.02173655867304,34,37.5,0.879068311988366,8,8.5,2.70489239775847,20,25.25,0.846623515908444,4,4
SAMEA6236727,4.00244592811932,213,270,3.84893994872974,125,174.5,2.02326689725059,38,54.5,0.544829671380534,7,7.5,1.9188937207582,21,26.6,0.346037404711733,4,4.5
SAMEA6236728,4.46166227767814,256,294.926829268293,4.39156176748994,162,250.5,2.6083457795265,52,57.5714285714286,0.804180814388167,8,9,2.5782589495336,30,45,0.931116032362502,5,5
SAMEA6236729,3.8689081713731,189,216.823529411765,3.74107111161955,111,148.714285714286,1.76739394448523,30,31.3636363636364,0.477409277970094,6,6,1.73896518850604,16,18.5,0.445644445066967,3,3
SAMEA6236730,,,,3.80132139899029,119,148.291666666667,,,,,,,1.82765215126244,15,16.2,0.802827747299015,7,8.5
SAMEA6236731,3.20886161944315,123,133.615384615385,3.19489757962436,72,95.1,1.67122423066611,28,30.3333333333333,0.256240055533799,4,4,1.74915125007311,16,19.75,0.212626823663138,3,3
SAMEA6236732,3.60345444197605,125,144.461538461538,3.60296278853575,87,105.071428571429,1.89146012067113,27,34,0.464519918088569,7,7,1.82349264300114,17,20.75,0.432775120299232,6,7.5
SAMEA6236733,3.96478744775252,168,185.181818181818,3.84789927421391,110,126.434782608696,2.1095086107959,32,35.5,1.02418467996719,7,7.5,2.02982225959285,19,20.5,1.00014326773173,4,4
SAMEA6236734,3.77208839840649,170,186.714285714286,3.63454931970811,109,123.625,1.86932174079163,30,32.1428571428572,0.661252047061244,8,9,1.81144788507102,19,23.6666666666667,0.695339742196149,5,5
SAMEA6236735,4.17306249474994,234,277.676470588235,4.08183087858607,136,173.272727272727,2.30187181088149,43,54.375,0.579857757624911,5,6,1.95709825053872,18,25,0.529643502540352,3,3
SAMN02727528,2.70830792444767,125,135.96875,2.61679176282446,71,105.363636363636,1.24220528906753,17,18,,,,1.28905910471857,13,13.3333333333333,,,
SAMN02727529,2.86431611717086,137,201.473684210526,2.67391848501606,66,95.5454545454545,2.05440913535664,19,20.5,,,,1.8244199541114,11,14.3333333333333,,,
SAMN02727530,2.64447227293227,115,163,2.57895341653624,71,111.6,1.44492621583,15,25,,,,1.18502645117815,9,12,,,
SAMN02727531,2.39779712496823,113,191.833333333333,2.4590900925539,70,101.071428571429,1.29006624790283,13,16,,,,1.37849835900583,10,10.3333333333333,,,
SAMN02727532,2.34214255296821,114,147.3,2.39209541839404,67,103.909090909091,1.64905760501547,13,13.2,,,,1.7667150919484,8,8.33333333333333,,,
SAMN02727533,2.69306112364854,126,174.235294117647,2.68762149353487,75,110.2,1.29354877983071,18,19.5,,,,1.55071046545457,13,13,,,
SAMN02727534,2.643165716522,183,222.487179487179,2.38619149914298,81,130.4,1.60137974618178,35,37.3333333333333,0.173205206749177,2,2,1.41297298411598,16,19,0,1,1
SAMN02727535,2.1067485756053,114,159,2.05075694871336,67,105.153846153846,1.48011152352269,16,16,,,,1.40881485368418,13,14.5,,,
SAMN02727536,2.57966445270192,118,124.181818181818,2.58874336765983,69,80.4,1.78401776881655,13,13,0,1,1,1.71459198609099,9,9.25,0,1,1
SAMN02727537,3.42004193596095,206,265.032258064516,3.31340255871189,112,210.428571428571,1.86761391914604,19,22.3333333333333,0,1,1,1.67756262555993,11,26,0,1,1
SAMN02727538,3.06700962764555,172,216.71875,2.96410158508987,90,116.714285714286,2.2133704310722,26,31.1428571428571,0,1,1,2.33504533809831,16,20,0,1,1
SAMN02727539,3.18068544848321,168,209.757575757576,3.04240952222359,84,150.6,2.35659052930172,29,34.1428571428571,0,1,1,2.18564243765469,15,33,,,
SAMEA4470834,,,,3.32819384426595,50,50.5,,,,,,,1.52457105163033,7,7,,,
SAMEA4470835,2.02919105849279,55,76,2.03592360010417,40,47.0909090909091,0.718992324827057,7,7,0,1,1,0.726192833261454,5,5,0,1,1
SAMEA4470836,3.43575671883768,147,194.833333333333,3.41333510924419,91,107.866666666667,1.81864323318158,16,21.25,0,1,1,1.19884931291362,4,4,,,
